address,city,country,,,,,,,latitude,,longitude,,,property_name,,,,room_count,room_type,similar_hotel,,,,sitename,special_tag,state,uniq_id,zone
"KHIRSU, 246147 Pauri, India – Great location -",pauri,India,,,,,,,30.12374875,,78.79377365,,,Khirsu By GMVN,,,,18,Economy Double Room,Hotel Mandakini,,,,http://www.booking.com/,Share,Uttarakhand,a5ea72415f8007fcbe65759830fdd3d9,
"Kaathadimattam, Balacola Post, NEAR Siva Tea Factory, Ooty, 643203 Ooty, India – Great location -",ooty,India,,,,,,,11.32959492,,76.68673217,,,Global Village Ooty,,,,10,British Empire Chalet,Treebo Yantra Leisures|Western Valley Resorts|Two Seas Residence,,,,http://www.booking.com/,Share,Tamil Nadu,7e0b055417271bbd9dae902f3e231ed4,
"PIPALKOTI, 246472 Pīpalkoti, India – Show map",pīpalkoti,India,,,,,,,30.42953964,,79.42811608,,,TRH Pipalkoti,,,,28,Economy Double Room,TRH Joshimath (New),,,,http://www.booking.com/,Share,Uttarakhand,72c0af09827bbb620365aa5df523ba1d,
"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map",kumarakom,India,,,,,,,9.616056772,,76.42826915,,,Swasti house boat 2,,,,1,Deluxe Room,,,,,http://www.booking.com/,Share,Kerala,eb6fd33d99aa4a8088caa8f3ecb08275,
"Kavanattinkara, 686563 Kumarakom, India – Show map",kumarakom,India,,,,,,,9.632854358,,76.42356992,,,Amrutham Houseboat 2,,,,2,Mobile Home,Mandala Beach House & Cottages,,,,http://www.booking.com/,Share,Kerala,0814d9af7ad808863c04db8f30437c57,
"15 A Arani House Ooty, 643002 Ooty, India – Show map",ooty,India,,,,,,,11.41345965,,76.7185995,,,The Hill Side,,,,20,Standard Room in Apartment,Two Seas Residence,,,,http://www.booking.com/,Share,Tamil Nadu,cd2caff07410c06831e50a5ed0807f6c,
"Near White Meadows Resorts Prini, Manali Distt. Kullu (H.P.), 175131 Manāli, India – Show map",manāli,India,,,,,,,32.22145595,,77.19583422,,,Hotel Mountain Face,,,,28,Budget Double Room,Sparsh Resort|Pause at Manali|Hotel Mountain Trail Manali,,,,http://www.booking.com/,Share,Himachal Pradesh,e7482ae06a72dee32708e226d5dcf73d,
"Near Railway Station Near Railway Station, 249401 Haridwār, India – Great location -",haridwār,India,,,,,,,29.94695888,,78.15648895,,,Rahi Motel Haridwar,,,,32,Economy Double Room,Himgiri Residency|Hotel Le Central,,,,http://www.booking.com/,Share,Uttarakhand,afe4c16fa1512557020acaa51ff744ef,
"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map",kumarakom,India,,,,,,,9.617156891,,76.42783999,,,Swasti house boat 4,,,,2,Deluxe Room,Sreekrishna Houseboat C/o Sreekrishna ayurveda Panchakarma Centre,,,,http://www.booking.com/,Share,Kerala,b0ac79ef7273575d5ce09de1c8f29db0,
,pura raghunāth,India,,,,,,,25.26320407,,82.8412192,,,,,,,,Superior Double Room,,,,,http://www.booking.com/,,Uttar Pradesh,4e8b622d006998420ab908936ce6d7c7,
"Upper Cart Road, Next to Birla's House, Mangal Dara, 734301 Kalimpong, India – Great location -",kalimpong,India,,,,,,,27.05979041,,88.45860958,,,The Gaff in Kalimpong-Deluxe,,,,20,Deluxe Apartment,Shikher Guest House|Yuru Retreat Delo,,,,http://www.booking.com/,Share,West Bengal,7d3b623c62754e7c331c3ad815d28fd1,
"TC 68/1883-1 Koprapura Road, Pachalloor Bye Pass, 695027 Tiruvallam, India – Show map",tiruvallam,India,,,,,,,8.427137365,,76.96108192,,,Oceana Homestay,,,,2,Deluxe Double Room,Vijaya Varma Beach Resort,,,,http://www.booking.com/,Share,Kerala,f415fd9766136d5156b9a05d187c8044,
"Trinity House, No. 773, 3rd stage, 3rd cross, Gokulam, 570002 Mysore, India – Great location -",mysore,India,,,,,,,12.33602952,,76.63064182,,,Varsha Enclave- Trinity House,,,,11,Studio with Balcony,Treebo Golden Castle,,,,http://www.booking.com/,Share,Karnataka,fc70de8863617ed5c707e35631b95c83,
"Opp. Vishal Mega Mart, Old Ranipur More, 249407 Haridwār, India – Great location -",haridwār,India,,,,,,,29.93724304,,78.13998252,,,Grand Hotel,,,,8,Deluxe Double Room,Chitra Grand|Nature Care Village|Amraai,,,,http://www.booking.com/,Share,Uttarakhand,1f64ffd8607a0d8c65394690929220fb,
"Coonoor Road, Beside Eye Hospital, 643001 Ooty, India – Show map",ooty,India,,,,,,,11.40319815,,76.71464927,,,Hotel Blue Bird,,,,24,Deluxe Double Room with Bath,"La Flora Amberley Resort, Ooty|The Abode|DiviheritageInn",,,,http://www.booking.com/,Share,Tamil Nadu,56d39d34f2697247c00df091dd743c92,
